"id","pmid","title","author","refrence","link"
"2459","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2460","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2461","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2462","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2463","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2464","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2465","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2466","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2467","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2468","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2469","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2470","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2471","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2472","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2473","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2474","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2475","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2476","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2477","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2478","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2479","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2480","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2481","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2482","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2483","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2484","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2485","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2486","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2487","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2488","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2489","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2490","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2491","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2492","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2493","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2494","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2495","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2496","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2497","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2498","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2499","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2500","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2501","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2502","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2503","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2504","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2505","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2506","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2507","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2508","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2509","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2510","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2511","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2512","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2513","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2514","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2515","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2516","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2517","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2518","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2519","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2520","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2521","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2522","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2523","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2524","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2525","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2526","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2527","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2528","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2529","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2530","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2531","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2532","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2533","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2534","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2535","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2536","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2537","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2538","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2539","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2540","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2541","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2542","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2543","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2544","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2545","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2546","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2547","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2548","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2549","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2550","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2551","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2552","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2553","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2554","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2555","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2556","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2557","23194537","A new QSAR model, for angiotensin I-converting enzyme inhibitory oligopeptides.","Sagardia I1, Roa-Ureta RH, Bald C.","Food Chem. 2013 Feb 15;136(3-4):1370-6.","http://www.ncbi.nlm.nih.gov/pubmed?term=23194537"
"2558","24915368","ISOLATION AND CHARACTERIZATION OF PEPTIDES WITH ANTIHYPERTENSIVE ACTIVITY IN FOODSTUFFS.","Puchalska P1, Alegre ML, López MC.","Crit Rev Food Sci Nutr. 2013 Sep 2.","http://www.ncbi.nlm.nih.gov/pubmed?term=24915368"
"2559","24915368","ISOLATION AND CHARACTERIZATION OF PEPTIDES WITH ANTIHYPERTENSIVE ACTIVITY IN FOODSTUFFS.","Puchalska P1, Alegre ML, López MC.","Crit Rev Food Sci Nutr. 2013 Sep 2.","http://www.ncbi.nlm.nih.gov/pubmed?term=24915368"
"2560","24915368","ISOLATION AND CHARACTERIZATION OF PEPTIDES WITH ANTIHYPERTENSIVE ACTIVITY IN FOODSTUFFS.","Puchalska P1, Alegre ML, López MC.","Crit Rev Food Sci Nutr. 2013 Sep 2.","http://www.ncbi.nlm.nih.gov/pubmed?term=24915368"
"2561","24915368","ISOLATION AND CHARACTERIZATION OF PEPTIDES WITH ANTIHYPERTENSIVE ACTIVITY IN FOODSTUFFS.","Puchalska P1, Alegre ML, López MC.","Crit Rev Food Sci Nutr. 2013 Sep 2.","http://www.ncbi.nlm.nih.gov/pubmed?term=24915368"
"2562","24915368","ISOLATION AND CHARACTERIZATION OF PEPTIDES WITH ANTIHYPERTENSIVE ACTIVITY IN FOODSTUFFS.","Puchalska P1, Alegre ML, López MC.","Crit Rev Food Sci Nutr. 2013 Sep 2.","http://www.ncbi.nlm.nih.gov/pubmed?term=24915368"
"2563","24915368","ISOLATION AND CHARACTERIZATION OF PEPTIDES WITH ANTIHYPERTENSIVE ACTIVITY IN FOODSTUFFS.","Puchalska P1, Alegre ML, López MC.","Crit Rev Food Sci Nutr. 2013 Sep 2.","http://www.ncbi.nlm.nih.gov/pubmed?term=24915368"
"2564","24915368","ISOLATION AND CHARACTERIZATION OF PEPTIDES WITH ANTIHYPERTENSIVE ACTIVITY IN FOODSTUFFS.","Puchalska P1, Alegre ML, López MC.","Crit Rev Food Sci Nutr. 2013 Sep 2.","http://www.ncbi.nlm.nih.gov/pubmed?term=24915368"
"2565","24915368","ISOLATION AND CHARACTERIZATION OF PEPTIDES WITH ANTIHYPERTENSIVE ACTIVITY IN FOODSTUFFS.","Puchalska P1, Alegre ML, López MC.","Crit Rev Food Sci Nutr. 2013 Sep 2.","http://www.ncbi.nlm.nih.gov/pubmed?term=24915368"
"2566","24915368","ISOLATION AND CHARACTERIZATION OF PEPTIDES WITH ANTIHYPERTENSIVE ACTIVITY IN FOODSTUFFS.","Puchalska P1, Alegre ML, López MC.","Crit Rev Food Sci Nutr. 2013 Sep 2.","http://www.ncbi.nlm.nih.gov/pubmed?term=24915368"
